total_trades,win_rate,return_pct,profit_factor,total_pnl,consensus,stop_loss,take_profit,rr_ratio,score
666,42.64,6.63,1.66,663.11,0.25,0.005,0.01,2.0,24.406999999999996
457,38.29,4.95,1.94,494.93,0.25,0.005,0.015,3.0,23.662
341,33.72,8.56,2.89,855.83,0.25,0.005,0.02,4.0,28.846000000000004
232,27.16,7.22,4.02,721.63,0.25,0.005,0.03,6.0,31.857999999999997
205,21.46,6.55,5.45,655.27,0.25,0.005,0.04,8.0,36.963
291,52.58,9.05,1.35,905.25,0.25,0.01,0.015,1.5,27.049
221,45.25,7.42,1.77,741.67,0.25,0.01,0.02,2.0,26.134999999999998
164,37.8,7.79,2.59,779.08,0.25,0.01,0.03,3.0,28.184999999999995
117,34.19,7.14,3.16,714.44,0.25,0.01,0.04,4.0,29.627000000000002
168,56.55,8.24,1.21,824.36,0.25,0.015,0.02,1.33,27.135
103,51.46,8.56,1.75,855.64,0.25,0.015,0.03,2.0,28.468
81,46.91,5.01,1.66,501.22,0.25,0.015,0.04,2.67,24.878
91,58.24,8.9,1.37,890.41,0.25,0.02,0.03,1.5,28.772000000000002
66,53.03,8.0,1.75,799.93,0.25,0.02,0.04,2.0,28.659
72,65.28,8.74,1.12,873.54,0.25,0.025,0.03,1.2,29.554000000000002
62,58.06,8.47,1.49,846.8,0.25,0.025,0.04,1.6,29.102999999999998
649,39.29,-1.09,1.49,-109.05,0.5,0.005,0.01,2.0,18.692
452,35.18,2.61,2.04,261.29,0.5,0.005,0.015,3.0,22.058999999999997
342,31.29,6.59,2.98,659.35,0.5,0.005,0.02,4.0,27.582
249,23.69,5.39,4.36,538.56,0.5,0.005,0.03,6.0,31.602
187,19.25,1.13,4.53,113.0,0.5,0.005,0.04,8.0,28.990000000000002
297,43.43,-1.49,1.22,-148.58,0.5,0.01,0.015,1.5,18.384
221,41.63,5.05,1.82,504.72,0.5,0.01,0.02,2.0,24.114
161,36.02,6.38,2.6,637.85,0.5,0.01,0.03,3.0,26.996000000000002
130,29.23,5.1,3.41,509.91,0.5,0.01,0.04,4.0,28.369
165,47.27,2.78,1.31,278.16,0.5,0.015,0.02,1.33,22.121000000000002
108,40.74,3.72,1.91,371.59,0.5,0.015,0.03,2.0,23.631999999999998
96,34.38,-0.09,1.9,-9.24,0.5,0.015,0.04,2.67,19.769
87,50.57,4.85,1.42,485.38,0.5,0.02,0.03,1.5,24.695999999999998
74,40.54,3.14,1.89,314.49,0.5,0.02,0.04,2.0,23.182
73,56.16,5.13,1.19,513.06,0.5,0.025,0.03,1.2,25.363
56,46.43,-0.2,1.13,-20.05,0.5,0.025,0.04,1.6,19.479
346,31.5,-4.96,1.56,-496.08,0.75,0.005,0.01,2.0,14.77
281,26.69,-3.24,2.18,-323.56,0.75,0.005,0.015,3.0,17.287
240,21.67,-3.29,2.79,-329.1,0.75,0.005,0.02,4.0,18.805999999999997
195,18.97,2.84,5.41,283.67,0.75,0.005,0.03,6.0,34.161
165,15.76,3.2,7.17,320.38,0.75,0.005,0.04,8.0,42.178
199,36.18,-4.6,1.27,-460.13,0.75,0.01,0.015,1.5,14.903999999999998
165,30.91,-3.97,1.64,-397.06,0.75,0.01,0.02,2.0,15.488
134,25.37,0.94,3.18,94.08,0.75,0.01,0.03,3.0,23.981
107,22.43,2.29,4.28,228.83,0.75,0.01,0.04,4.0,29.274
126,34.92,-5.86,1.15,-585.73,0.75,0.015,0.02,1.33,13.296000000000001
99,29.29,-0.48,2.31,-47.51,0.75,0.015,0.03,2.0,20.097
81,28.4,2.02,3.06,201.8,0.75,0.015,0.04,2.67,24.83
69,37.68,0.52,1.74,51.96,0.75,0.02,0.03,1.5,20.264
64,40.62,4.49,2.26,449.21,0.75,0.02,0.04,2.0,25.730999999999995
67,44.78,1.24,1.39,123.94,0.75,0.025,0.03,1.2,21.003999999999998
56,46.43,4.84,1.85,484.09,0.75,0.025,0.04,1.6,25.599
3,66.67,0.18,2.04,18.38,1.0,0.005,0.01,2.0,30.291
3,33.33,0.07,3.17,6.69,1.0,0.005,0.015,3.0,25.884
3,0.0,-0.2,0.0,-19.58,1.0,0.005,0.02,4.0,-0.1
3,0.0,-0.2,0.0,-19.58,1.0,0.005,0.03,6.0,-0.1
3,0.0,-0.2,0.0,-19.58,1.0,0.005,0.04,8.0,-0.1
3,33.33,-0.03,1.72,-2.9,1.0,0.01,0.015,1.5,18.583999999999996
3,0.0,-0.31,0.0,-31.43,1.0,0.01,0.02,2.0,-0.155
3,0.0,-0.31,0.0,-31.43,1.0,0.01,0.03,3.0,-0.155
3,0.0,-0.31,0.0,-31.43,1.0,0.01,0.04,4.0,-0.155
3,0.0,-0.46,0.0,-46.08,1.0,0.015,0.02,1.33,-0.23
3,0.0,-0.46,0.0,-46.08,1.0,0.015,0.03,2.0,-0.23
3,0.0,-0.46,0.0,-46.08,1.0,0.015,0.04,2.67,-0.23
3,0.0,-0.64,0.0,-63.54,1.0,0.02,0.03,1.5,-0.32
3,0.0,-0.64,0.0,-63.54,1.0,0.02,0.04,2.0,-0.32
3,0.0,-0.78,0.0,-77.82,1.0,0.025,0.03,1.2,-0.39
3,0.0,-0.78,0.0,-77.82,1.0,0.025,0.04,1.6,-0.39
